i;J0;n0
1;0;-9.6937268393049
2;1;0.10087275970006E2
3;-5;-0.56087911283020E-2
4;-4;0.71452738081455E-1
5;-3;-0.40710498223928
6;-2;0.14240819171444E1
7;-1;-0.43839511319450E1
8;2;-0.28408632460772
9;3;0.21268463753307E-1
