i;Ii;Ji;ni
1;1;1;0.15736404855259E-2
2;1;2;0.90153761673944E-3
3;1;3;-0.50270077677648E-2
4;2;3;0.22440037409485E-5
5;2;9;-0.41163275453471E-5
6;3;7;0.37919454822955E-7
