i;ni
1;0.11670521452767E4
2;-0.72421316703206E6
3;-0.17073846940092E2
4;0.12020824702470E5
5;-0.32325550322333E7
6;0.14915108613530E2
7;-0.48232657361591E4
8;0.40511340542057E6
9;-0.23855557567849
10;0.65017534844798E3
